 ,Country,2016,2017,2018,3Q19,4Q19,2019,Change 19/18,1Q20,2Q20,3Q20,4Q20,Change 20/19
,Non-OPEC liquids production and OPEC NGLs,,,,,,,,,,,,
,US,13.616849584699455,14.40416126849315,16.711865523287674,18.364541,19.147141,18.397463191780822,1.6855976684931484,19.049699,18.40002,17.999889,17.55007,18.24732419945355
,Canada,4.498983193989071,4.850241128767123,5.278542575342466,5.37793,5.53053,5.411764520547944,0.13322194520547814,5.513603,5.11029,5.290318,5.369688,5.321024084699453
,Mexico,2.4645465846994536,2.231907005479452,2.076569824657535,1.932206,1.934206,1.924515589041096,-0.15205423561643872,1.973822,1.842592,1.792516,1.731594,1.8347316775956284
,OECD Americas,20.58529741803279,21.49231491506849,24.076054545205483,25.685361999999998,26.622562,25.74442830136986,1.6683737561643797,26.547715,25.3634,25.093127,24.661662000000003,25.41353019945355
,Norway,1.9967866338797817,1.9691096739726026,1.851523479452055,1.650585,1.946385,1.7351734931506848,-0.11634998630137017,2.050907,1.970368,2.056513,2.119816,2.0496128224043715
,UK,1.040081844262295,1.02612618630137,1.1236877835616437,1.078953,1.135953,1.1459535479452054,0.02226576438356176,1.199861,1.136328,1.104921,1.209667,1.1626647404371586
,Denmark,0.14496413114754098,0.14306555616438357,0.1209807315068493,0.101663,0.086663,0.10829587671232876,-0.012684854794520542,0.083692,0.096722,0.091751,0.08678,0.08973367759562842
,Other OECD Europe,0.6713727486338797,0.6884004630136986,0.7448146,0.714976,0.715976,0.7177294246575342,-0.027085175342465795,0.725383,0.707682,0.704882,0.703973,0.7104469262295082
,OECD Europe,3.8532053579234975,3.8267018794520546,3.8410065945205476,3.5461769999999997,3.884977,3.7071523424657533,-0.13385425205479473,4.059843,3.9111000000000002,3.958067,4.120236,4.012458166666667
,Australia,0.34965284426229504,0.3173259205479452,0.339589093150685,0.436537,0.456937,0.41688604109589045,0.07729694794520547,0.454573,0.476027,0.5123,0.512389,0.4889507868852459
,Other Asia Pacific,0.07563927868852459,0.07443589863013698,0.06842509589041096,0.075833,0.060433,0.06779902739726028,-0.0006260684931506805,0.060543,0.065781,0.065148,0.064643,0.06403348633879781
,OECD Asia Pacific,0.42529212295081964,0.39176181917808217,0.40801418904109593,0.51237,0.51737,0.48468506849315074,0.0766708794520548,0.515116,0.541808,0.577448,0.577032,0.5529842732240438
,Total OECD,24.86379489890711,25.71077861369863,28.325075328767127,29.743909,31.024908999999997,29.936265712328765,1.6111903835616397,31.122674,29.816308,29.628642,29.358930000000004,29.97897263934426
,Brunei,0.12094260655737706,0.11314273424657535,0.11145193424657533,0.11357,0.13197,0.12185602739726029,0.010404093150684954,0.118222,0.092474,0.095726,0.095979,0.10057430601092895
,India,0.8524700519125682,0.8603122986301369,0.8593286739726027,0.810161,0.806961,0.8236070273972602,-0.03572164657534249,0.797875,0.836153,0.850121,0.85272,0.8343112568306011
,Indonesia,0.9270793142076503,0.8910190410958904,0.86915338630137,0.864241,0.858441,0.8718086712328766,0.002655284931506685,0.88299,0.84465,0.842423,0.841308,0.8527827650273224
,Malaysia,0.7309725327868851,0.7254685397260274,0.7349699863013699,0.628102,0.703502,0.6991250136986302,-0.035844972602739666,0.709,0.576712,0.604638,0.604777,0.623677519125683
,Thailand,0.5140355300546448,0.521109783561644,0.5173097698630137,0.534185,0.529185,0.5148726712328767,-0.002437098630136969,0.526639,0.519381,0.512413,0.505732,0.5160031693989071
,Vietnam,0.3088415464480875,0.27702977534246576,0.24532313150684934,0.221326,0.216326,0.22700819178082193,-0.018314939726027407,0.21357,0.211348,0.209659,0.208504,0.2107610218579235
,Asia others,0.25345310109289615,0.24396836712328768,0.2280696904109589,0.224985,0.222985,0.22596582191780823,-0.002103868493150668,0.219645,0.222712,0.220182,0.218061,0.22014437978142073
,Other Asia,3.707794683060109,3.6320505397260274,3.5656065726027397,3.3965699999999996,3.46937,3.4842434246575342,-0.08136314794520556,3.4679409999999997,3.3034300000000005,3.335162,3.327081,3.358254418032787
,Argentina,0.6675599098360656,0.6465286520547945,0.6484465835616439,0.666285,0.668485,0.6617348630136985,0.013288279452054685,0.668949,0.672311,0.678569,0.687726,0.6769229508196721
,Brazil,3.121991928961749,3.2518795808219183,3.316073887671233,3.659746,3.827346,3.5424654520547945,0.22639156438356167,3.775944,3.812692,3.822589,3.867635,3.8198537814207647
,Colombia,0.9082513333333333,0.8785783178082192,0.8911205726027397,0.901537,0.904937,0.9112668630136987,0.020146290410959056,0.907976,0.860025,0.823083,0.840151,0.8576656256830602
,Ecuador,0.5579303743169399,0.5405606767123288,0.5259943726027397,0.554043,0.525043,0.5390484794520548,0.013054106849315072,0.539043,0.489043,0.539043,0.539043,0.526611306010929
,Latin America others,0.3783957978142077,0.37322213698630136,0.3581263287671233,0.35099,0.36499,0.3547653424657534,-0.0033609863013698837,0.432871,0.467382,0.464522,0.462296,0.45680404098360655
,Latin America,5.634129344262296,5.690769364383563,5.739761745205479,6.132601000000001,6.290801,6.0092810000000005,0.2695192547945206,6.324783,6.3014529999999995,6.327806000000001,6.396851,6.337857704918032
,Bahrain,0.22500000000000003,0.20836989589041097,0.20838359452054794,0.221315,0.226315,0.217142397260274,0.008758802739726068,0.201016,0.172716,0.183417,0.183117,0.18505666666666665
,Oman,1.0041806038251364,0.9705864493150684,0.9785427260273972,0.971409,0.969009,0.9698626986301369,-0.00868002739726037,0.966728,0.79492,0.834583,0.834719,0.857611344262295
,Qatar,1.98514356010929,1.8969315342465756,1.9556377095890412,1.94965,1.94865,1.9550691780821916,-0.0005685315068495456,1.968,1.96052,1.964821,1.969546,1.9657297377049177
,Syria,0.02508478415300547,0.024665775342465758,0.024000000000000004,0.024,0.024,0.024000000000000004,0,0.02378,0.023801,0.024061,0.024562,0.02405242349726776
,Yemen,0.02420757650273224,0.035361550684931506,0.04535610684931507,0.047,0.047,0.047,0.0016438931506849302,0.049746,0.053189,0.057329,0.062165,0.055629871584699446
,Middle East,3.263616524590164,3.1359152054794524,3.2119201369863015,3.2133740000000004,3.214974,3.2130742739726026,0.0011541369863010825,3.2092699999999996,3.0051460000000003,3.0642110000000002,3.074109,3.088080043715846
,Cameroon,0.09164468579234973,0.07496453698630137,0.06707944657534247,0.066,0.066,0.06500821917808218,-0.002071227397260289,0.064211,0.062422,0.060632,0.058843,0.06151722131147542
,Chad,0.12000816393442625,0.12057535342465751,0.11690956164383562,0.113063,0.111863,0.11340491780821918,-0.003504643835616439,0.11013,0.117428,0.115759,0.114121,0.11436267213114754
,Egypt,0.6875463087431695,0.661528906849315,0.6722628821917809,0.648674,0.641674,0.6540959178082192,-0.01816696438356169,0.638092,0.631667,0.620398,0.610287,0.6250576202185792
,Ghana,0.09175388797814206,0.16300830136986302,0.18994512602739727,0.200137,0.200737,0.19934686301369864,0.009401736986301368,0.194246,0.214883,0.215647,0.216538,0.21035999726775956
,South Africa,0.11999999999999998,0.11883011506849314,0.11858083287671232,0.1176,0.1178,0.11799780821917809,-0.0005830246575342368,0.117984,0.134214,0.13449,0.134812,0.13039836612021857
,Sudans,0.2502103825136612,0.21326044383561646,0.21579987945205478,0.251863,0.243263,0.2442038219178082,0.028403942465753423,0.247604,0.156747,0.17069,0.171435,0.18653399180327868
,Africa other,0.1310071038251366,0.13176142465753424,0.12283570684931505,0.108822,0.109222,0.11085049315068493,-0.01198521369863012,0.105773,0.127771,0.128216,0.129109,0.12274973770491805
,Africa,1.4921705327868853,1.4839290821917808,1.5034134356164386,1.5061589999999998,1.4905589999999997,1.5049080410958904,0.0014946054794520158,1.47804,1.445132,1.4458319999999998,1.435145,1.450979606557377
,Total DCs,14.097711084699455,13.942664191780823,14.020701890410958,14.248704,14.465704,14.21150673972603,0.19080484931506814,14.480034,14.055161,14.173011,14.233186,14.235171773224044
,FSU,13.851691497267762,14.04937279452055,14.290646265753427,14.343679,14.422279000000001,14.368702561643836,0.07805629589040947,14.503692,11.824297,12.428125000000001,12.426178000000002,12.793559767759564
,Russia,11.083256756830602,11.170934473972604,11.346479013698632,11.420571,11.451171,11.44000004109589,0.09352102739725865,11.504171,9.355094,9.848967,9.848791,10.13766899180328
,Kazakhstan,1.5624919262295085,1.7328547561643834,1.8144986684931508,1.814669,1.873269,1.8183555753424658,0.003856906849315056,1.889578,1.511175,1.59106,1.591234,1.6454633087431696
,Azerbaijan,0.8491066639344264,0.8038575863013699,0.8049808493150684,0.786776,0.777176,0.788445589041096,-0.016535260273972452,0.790555,0.648431,0.680804,0.680675,0.7000103661202185
,FSU others,0.3568361502732241,0.3417259780821918,0.3246877342465753,0.321663,0.320663,0.32190135616438353,-0.002786378082191787,0.319388,0.309597,0.307294,0.305478,0.31041710109289616
,Other Europe,0.13340434699453552,0.12773456164383562,0.12448763835616437,0.122326,0.119326,0.12156983561643836,-0.0029178027397260137,0.119843,0.117445,0.115126,0.112891,0.11631358469945356
,China,4.090145071038251,3.969115104109589,3.976583416438356,4.046609,4.033609,4.051058315068493,0.07447489863013734,4.043029,3.99982,3.989761,4.009537,4.010477254098361
,Non-OPEC production,57.03674689890711,57.799665265753426,60.737494539726036,62.505227000000005,64.065827,62.68910316438357,1.9516086246575286,64.269272,59.813030999999995,60.334665,60.140722000000004,61.13449501912568
,Processing gains,2.194,2.218,2.25,2.278,2.278,2.278,0.028000000000000025,2.332,2.332,2.332,2.332,2.332
,Non-OPEC liquids production,59.230746898907114,60.01766526575342,62.987494539726036,64.78322700000001,66.343827,64.96710316438357,1.9796086246575286,66.601272,62.145030999999996,62.666665,62.472722000000005,63.46649501912568
,OPEC NGL,4.473420303278688,4.52004077260274,4.643835153424658,4.598075,4.747075,4.683762671232876,0.03992751780821813,4.776075,4.713075,4.713075,4.713075,4.728738934426229
,OPEC Non-conventional (NCF),0.0984726775956284,0.108,0.10874520547945203,0.106,0.106,0.106,-0.002745205479452034,0.106,0.106,0.106,0.106,0.10599999999999998
,OPEC (NGL+NCF),4.571892980874317,4.6280407726027395,4.75258035890411,4.704075,4.853075,4.789762671232876,0.03718231232876609,4.8820749999999995,4.819075,4.819075,4.819075,4.834738934426229
,"Total Non-OPEC production and 
OPEC NGLs",63.80263987978143,64.64570603835617,67.74007489863014,69.48730200000001,71.19690200000001,69.75686583561645,2.0167909369862946,71.483347,66.964106,67.48574,67.291797,68.30123395355191
,Note: Non-OPEC liquids production includes the Republic of Ecuador and OECD Americas includes Chile.,,,,,,,,,,,,
,Totals may not add up due to independent rounding.,,,,,,,,,,,,
,Source: OPEC.,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
